컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
한강사업본부-한강시민공원망원지구-6,한강시민공원망원지구,1.14E+18,서울특별시 마포구 망원동 205-5,,서울특별시 마포구 마포나루길 429,126.9011111,37.55111111,공원명,,,,,,,,,,,,,,,,,,,
은평구-봉산도시자연공원-3,봉산도시자연공원,,서울특별시 은평구 증산동 산 18-6,,서울특별시 은평구 증산로5길 35-27,126.902492,37.58371744,공원명,,,,,,,,,,,,,,,,,,,
한강사업본부-한강시민공원망원지구-7,한강시민공원망원지구,1.14E+18,서울특별시 마포구 합정동 465-6,,,126.9011111,37.55058333,공원명,,,,,,,,,,,,,,,,,,,
한강사업본부-한강시민공원(양화지구)-1,한강시민공원(양화지구),,서울특별시 영등포구 당산동 95-1,,서울특별시 영등포구 노들로 237,126.9046255,37.53766499,공원명,,,,,,,,,,,,,,,,,,,
서초구-반포배수지몽마르뜨공원-2,반포배수지몽마르뜨공원,,서울특별시 서초구 반포동 산 93,,,127.0033889,37.49480556,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-7,현충원,,서울특별시 동작구 동작동 267-2,1.16E+21,,126.9722224,37.49834942,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-19,현충원,,서울특별시 동작구 동작동 222-21,1.16E+21,서울특별시 동작구 현충로 210,126.9704686,37.49839114,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광천 음수대-1,불광천 음수대,,서울특별시 은평구 증산동 163-1,,서울특별시 은평구 증산로 337,126.9125278,37.5865,공원명,,,,,,,,,,,,,,,,,,,
동부녹지-서울숲공원-5,서울숲공원,,서울특별시 성동구 성수동1가 685-124,,서울특별시 성동구 뚝섬로 273,127.0389444,37.54872222,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광천 음수대-3,불광천 음수대,1.14E+18,서울특별시 은평구 응암동 586-17,,서울특별시 은평구 불광천길 382,126.9143056,37.59105556,공원명,,,,,,,,,,,,,,,,,,,
서대문구-나비울 어린이공원-1,나비울 어린이공원,,서울특별시 서대문구 북가좌동 472,,서울특별시 서대문구 수색로 100-75,126.9093333,37.57494444,공원명,,,,,,,,,,,,,,,,,,,
은평구-은평평화공원-1,은평평화공원,,서울특별시 은평구 녹번동 153-31,,서울특별시 은평구 서오릉로 63,126.9230833,37.60569444,공원명,,,,,,,,,,,,,,,,,,,
서부녹지-여의도공원-4,여의도공원,1.16E+18,서울특별시 영등포구 여의도동 2,,서울특별시 영등포구 여의공원로 68,126.9208333,37.52555556,공원명,,,,,,,,,,,,,,,,,,,
마포구-양화진 역사공원-1,양화진 역사공원,1.14E+18,서울특별시 마포구 합정동 139-21,,서울특별시 마포구 토정로 2,126.9111119,37.54549643,공원명,,,,,,,,,,,,,,,,,,,
