Route_ID,TARGET_FID
송정체육공원_3km_초급,1449
송정체육공원_3km_초급,4966
송정체육공원_3km_초급,9326
송정체육공원_3km_초급,7208
송정체육공원_3km_초급,3723
송정체육공원_3km_초급,2529
송정체육공원_3km_초급,2847
송정체육공원_3km_초급,8454
송정체육공원_3km_초급,2004
송정체육공원_3km_초급,7799
송정체육공원_3km_초급,4016
송정체육공원_3km_초급,928
송정체육공원_3km_초급,4930
송정체육공원_3km_초급,6755
송정체육공원_3km_초급,3150
송정체육공원_5km_중급,5132
송정체육공원_5km_중급,2645
송정체육공원_5km_중급,6715
송정체육공원_5km_중급,3676
송정체육공원_5km_중급,430
송정체육공원_5km_중급,7726
송정체육공원_5km_중급,1181
송정체육공원_5km_중급,5915
송정체육공원_5km_중급,7476
송정체육공원_5km_중급,5119
송정체육공원_5km_중급,668
송정체육공원_5km_중급,6628
송정체육공원_5km_중급,7431
송정체육공원_5km_중급,6928
송정체육공원_5km_중급,6723
송정체육공원_5km_중급,915
송정체육공원_5km_중급,398
송정체육공원_5km_중급,6516
송정체육공원_5km_중급,4588
송정체육공원_5km_중급,29
송정체육공원_5km_중급,3464
송정체육공원_5km_중급,3455
송정체육공원_5km_중급,6825
송정체육공원_5km_중급,2695
송정체육공원_5km_중급,7454
송정체육공원_5km_중급,8626
송정체육공원_5km_중급,5875
송정체육공원_5km_중급,6644
송정체육공원_5km_중급,6550
송정체육공원_5km_중급,3671
송정체육공원_5km_중급,8538
송정체육공원_5km_중급,2394
송정체육공원_5km_중급,7785
송정체육공원_5km_중급,4412
송정체육공원_5km_중급,203
송정체육공원_5km_중급,7496
송정체육공원_5km_중급,734
송정체육공원_5km_중급,2601
송정체육공원_5km_중급,4533
송정체육공원_5km_중급,7673
송정체육공원_5km_중급,6261
송정체육공원_5km_중급,872
송정체육공원_5km_중급,1241
송정체육공원_5km_중급,2023
송정체육공원_5km_중급,6012
송정체육공원_5km_중급,3051
송정체육공원_5km_중급,4168
송정체육공원_5km_중급,1180
송정체육공원_5km_중급,6612
송정체육공원_5km_중급,3121
송정체육공원_5km_중급,5654
송정체육공원_5km_중급,4939
송정체육공원_5km_중급,7899
송정체육공원_5km_중급,4297
송정체육공원_5km_중급,4167
송정체육공원_5km_중급,1276
송정체육공원_5km_중급,6314
송정체육공원_5km_중급,9144
송정체육공원_5km_중급,1449
송정체육공원_5km_중급,4966
송정체육공원_5km_중급,9326
송정체육공원_5km_중급,7208
송정체육공원_5km_중급,3723
송정체육공원_5km_중급,2529
